RAPPORT DÉTAILLÉ;;;;;;;;
;;;;;;;;
Statistiques de la régression;;;;;;;;
Coefficient de détermination multiple;0.882702559;;;;;;;
Coefficient de détermination R^2;0.779163808;;;;;;;
Coefficient de détermination R^2;0.770271075;;;;;;;
Erreur-type;0.533518858;;;;;;;
Observations;156;;;;;;;
;;;;;;;;
ANALYSE DE VARIANCE;;;;;;;;
;Degré de liberté;Somme des carrés;Moyenne des carrés;F;Valeur critique de F;;;
Régression;6;149.6388422;24.93980703;87.61804116;2.40066E-46;;;
Résidus;149;42.41171337;0.284642372;;;;;
Total;155;192.0505556;;;;;;
;;;;;;;;
;Coefficients;Erreur-type;Statistique t;Probabilité;Limite inférieure pour seuil de confiance = 95%;Limite supérieure pour seuil de confiance = 95%;Limite inférieure pour seuil de confiance =  95.0%;Limite supérieure pour seuil de confiance =  95.0%
Constante;1.795220229;0.211073396;8.505194224;1.7676E-14;1.378136417;2.212304041;1.378136417;2.212304041
Variable X 1;0.775371626;0.218225354;3.553077636;0.000510302;0.34415545;1.206587802;0.34415545;1.206587802
Variable X 2;1.124191579;0.236900074;4.745425193;4.83381E-06;0.656073911;1.592309246;0.656073911;1.592309246
Variable X 3;1.078142735;0.334538483;3.222776417;0.001559604;0.417090283;1.739195187;0.417090283;1.739195187
Variable X 4;1.454832369;0.375337841;3.876061003;0.000158689;0.713159849;2.196504889;0.713159849;2.196504889
Variable X 5;0.489783351;0.497745477;0.98400362;0.326708862;-0.493768271;1.473334974;-0.493768271;1.473334974
Variable X 6;0.972280221;0.542360729;1.792681825;0.075052592;-0.099431726;2.043992169;-0.099431726;2.043992169
;;;;;;;;
;;;;;;;;
;;;;;;;;
ANALYSE DES RÉSIDUS;;;;;;;;
;;;;;;;;
Observation;Prévisions pour Y;Résidus;Résidus normalisés;;;;;
1;7.005482052;0.763517948;1.459628016;;;;;
2;7.093063764;0.506936236;0.969117144;;;;;
3;7.177317781;0.376682219;0.720108705;;;;;
4;6.945012946;0.548987054;1.049506284;;;;;
5;6.923514569;0.564485431;1.079134749;;;;;
6;7.065251589;0.414748411;0.792880379;;;;;
7;6.958686029;0.384313971;0.734698431;;;;;
8;7.044242119;0.262757881;0.502317943;;;;;
9;6.954373794;0.323626206;0.618680777;;;;;
10;6.728920473;0.517079527;0.988508216;;;;;
11;6.971145504;0.256854496;0.491032358;;;;;
12;6.227913335;0.939086665;1.795265206;;;;;
13;6.277005288;0.861994712;1.647887434;;;;;
14;6.964053315;0.125946685;0.240774052;;;;;
15;6.727040493;0.326959507;0.625053095;;;;;
16;6.978492221;0.042507779;0.08126272;;;;;
17;6.664136643;0.320863357;0.613398999;;;;;
18;6.571136919;0.351863081;0.672661609;;;;;
19;6.408656753;0.483343247;0.924014095;;;;;
20;6.165121532;0.686878468;1.313115244;;;;;
21;6.498030503;0.326969497;0.625072193;;;;;
22;6.740047662;-0.014047662;-0.026855113;;;;;
23;5.777617063;0.817382937;1.562602475;;;;;
24;6.46988157;0.12211843;0.233455523;;;;;
25;6.172429945;0.273570055;0.522987727;;;;;
26;5.890197866;0.553802134;1.05871134;;;;;
27;5.586296385;0.849703615;1.62439037;;;;;
28;6.071913135;0.303086865;0.579415429;;;;;
29;6.593627012;-0.219627012;-0.419864053;;;;;
30;6.284032336;0.069967664;0.133758169;;;;;
31;6.144899393;0.176100607;0.336654011;;;;;
32;5.755564772;0.544435228;1.040804494;;;;;
33;6.243225625;0.049774375;0.095154374;;;;;
34;7.271018592;-1.009018592;-1.928955055;;;;;
35;5.400842366;0.852157634;1.629081753;;;;;
36;6.034158938;0.188841062;0.361010118;;;;;
37;6.339868515;-0.140868515;-0.269300324;;;;;
38;5.960750879;0.237249121;0.453552486;;;;;
39;5.996428865;0.195571135;0.373876093;;;;;
40;6.108586776;0.073413224;0.140345095;;;;;
41;6.21589364;-0.04189364;-0.080088661;;;;;
42;5.825453974;0.323546026;0.618527495;;;;;
43;5.81610674;0.30889326;0.590515596;;;;;
44;6.456725767;-0.338725767;-0.647546821;;;;;
45;5.577419502;0.527580498;1.008583069;;;;;
46;5.52690417;0.57309583;1.095595372;;;;;
47;5.967777894;0.118222106;0.226006866;;;;;
48;5.688319814;0.381680186;0.729663388;;;;;
49;5.996409892;0.049590108;0.094802109;;;;;
50;5.783933999;0.244066001;0.466584412;;;;;
51;6.193318466;-0.172318466;-0.329423639;;;;;
52;6.099446255;-0.091446255;-0.174819093;;;;;
53;5.721014344;0.218985656;0.418637963;;;;;
54;5.662802249;0.232197751;0.443895712;;;;;
55;6.341543237;-0.448543237;-0.857486425;;;;;
56;5.789544342;0.100455658;0.192042496;;;;;
57;5.9882577;-0.1002577;-0.191664058;;;;;
58;6.40970021;-0.52370021;-1.001165068;;;;;
59;5.509136362;0.350863638;0.670750959;;;;;
60;5.947306643;-0.138306643;-0.264402758;;;;;
61;5.389970595;0.389029405;0.743712994;;;;;
62;5.55288356;0.20511644;0.392123987;;;;;
63;5.869748846;-0.126748846;-0.242307553;;;;;
64;6.163150294;-0.445150294;-0.851000087;;;;;
65;5.62138327;0.07561673;0.144557569;;;;;
66;6.214113393;-0.521113393;-0.996219814;;;;;
67;4.551385253;1.101614747;2.10597243;;;;;
68;5.683759594;-0.035759594;-0.06836212;;;;;
69;5.555999718;0.075000282;0.143379096;;;;;
70;5.564466167;0.038533833;0.073665671;;;;;
71;5.061108408;0.467891592;0.894474947;;;;;
72;5.61325794;-0.08825794;-0.168723947;;;;;
73;5.5131565;0.0098435;0.018817958;;;;;
74;5.004535592;0.462464408;0.884099722;;;;;
75;5.609728221;-0.177728221;-0.339765544;;;;;
76;6.601008193;-1.171008193;-2.238632858;;;;;
77;5.873685531;-0.448685531;-0.85775845;;;;;
78;5.244568386;0.141431614;0.27037681;;;;;
79;5.539930774;-0.166930774;-0.319123912;;;;;
80;5.840812748;-0.501812748;-0.9593225;;;;;
81;5.646126068;-0.323126068;-0.617724657;;;;;
82;5.218095473;0.068904527;0.131725754;;;;;
83;5.583758639;-0.298758639;-0.571141099;;;;;
84;5.541182668;-0.267182668;-0.510776869;;;;;
85;4.612926194;0.652073806;1.24657868;;;;;
86;5.526886977;-0.265886977;-0.508299879;;;;;
87;5.768192542;-0.521192542;-0.996371125;;;;;
88;4.994256591;0.216743409;0.414351429;;;;;
89;4.838163763;0.369836237;0.707021144;;;;;
90;5.427215919;-0.219215919;-0.41907816;;;;;
91;5.23700824;-0.04000824;-0.076484316;;;;;
92;5.566526536;-0.374526536;-0.715987655;;;;;
93;5.704177742;-0.513177742;-0.981049118;;;;;
94;5.733380522;-0.558380522;-1.06746391;;;;;
95;5.570301679;-0.488301679;-0.933493197;;;;;
96;4.282633822;0.761366178;1.455514448;;;;;
97;5.717528672;-0.706528672;-1.350680815;;;;;
98;4.481927215;0.514072785;0.982760184;;;;;
99;4.069915445;0.874084555;1.670999757;;;;;
100;5.113990087;-0.200990087;-0.38423558;;;;;
101;5.437500688;-0.531500688;-1.016077353;;;;;
102;3.692411226;1.190588774;2.276065331;;;;;
103;4.446017868;0.365982132;0.699653196;;;;;
104;5.064037823;-0.265037823;-0.506676539;;;;;
105;5.225107759;-0.429107759;-0.820331347;;;;;
106;5.247085796;-0.525085796;-1.003813912;;;;;
107;5.095742168;-0.376742168;-0.72022331;;;;;
108;5.312790765;-0.605790765;-1.158098738;;;;;
109;5.24830744;-0.54830744;-1.048207057;;;;;
110;4.872973667;-0.176973667;-0.338323052;;;;;
111;4.604342294;0.076657706;0.146547617;;;;;
112;4.063632513;0.604367487;1.155377839;;;;;
113;5.139229823;-0.500229823;-0.9562964;;;;;
114;3.820834583;0.807165417;1.543069498;;;;;
115;4.216250356;0.370749644;0.708767316;;;;;
116;5.039467469;-0.480467469;-0.918516429;;;;;
117;5.13854078;-0.59054078;-1.128945127;;;;;
118;4.094125391;0.439874609;0.840914486;;;;;
119;4.725561058;-0.206561058;-0.394885685;;;;;
120;4.400964157;0.115035843;0.219915642;;;;;
121;4.784454762;-0.275454762;-0.526590749;;;;;
122;4.309822057;0.180177943;0.344448711;;;;;
123;4.431673785;0.034326215;0.065621908;;;;;
124;4.83754504;-0.37654504;-0.719846458;;;;;
125;5.040762832;-0.584762832;-1.117899344;;;;;
